Family Composition,Population Base,Sex,Age,Marital Status,Student,Country of Birth,Health,Ethnic Group,Religion,Economic Activity,Occupation,Industry,Hours worked per week,No of hours,Approximated Social Grade
3,1,2,5,4,2,1,2,1,9,1,6,11,3,48.0,3
2,1,2,4,2,2,1,1,1,2,2,3,4,2,22.0,2
2,1,1,6,2,2,1,2,1,1,2,2,8,3,37.0,1
2,1,1,4,2,2,2,1,3,6,1,2,11,4,57.0,1
1,1,1,6,4,2,2,1,1,2,1,8,4,4,52.0,3
2,1,1,3,2,2,2,2,3,6,1,2,11,3,38.0,1
3,1,2,5,4,2,1,2,1,2,1,4,11,3,45.0,2
2,1,1,3,2,2,1,1,1,2,1,9,12,3,36.0,4
2,1,2,5,2,2,1,1,4,2,1,3,9,3,38.0,2
1,1,1,2,1,2,1,1,1,1,1,7,8,3,39.0,2
2,1,1,6,2,2,1,2,1,2,2,8,6,3,36.0,4
2,1,2,4,2,2,1,1,1,2,1,1,8,3,35.0,2
2,1,1,4,2,2,1,1,1,2,1,1,4,3,42.0,1
2,1,1,5,2,2,1,1,1,2,1,2,9,3,48.0,1
3,1,1,4,1,2,2,1,1,1,2,3,8,4,49.0,2
2,1,1,5,2,2,2,1,1,1,1,2,12,3,47.0,1
2,1,2,2,1,1,1,1,1,1,4,9,5,1,4.0,2
3,1,1,5,1,2,1,3,1,2,1,1,2,3,31.0,1
3,1,1,5,4,2,1,1,1,1,1,1,9,4,49.0,1
5,1,1,2,1,2,1,1,1,1,1,7,7,3,35.0,4
2,1,2,6,2,2,1,2,1,2,1,2,11,3,36.0,2
2,1,2,6,2,2,1,3,1,2,2,5,5,2,18.0,4
1,1,2,4,4,2,2,2,1,2,1,3,11,3,44.0,2
4,1,1,5,5,1,1,1,1,2,4,9,11,3,32.0,2
2,1,2,5,2,2,1,2,1,9,1,2,10,1,9.0,1
2,1,2,5,2,2,1,2,1,2,1,4,11,3,39.0,2
1,1,2,6,1,2,1,2,1,2,1,1,11,3,41.0,1
2,1,1,6,2,2,1,1,1,2,1,9,4,3,48.0,3
3,1,1,4,1,2,1,2,1,9,1,8,3,4,51.0,4
2,1,1,2,1,2,1,1,1,2,1,7,4,2,23.0,4
2,1,1,6,2,2,1,2,1,1,1,3,2,3,34.0,2
2,1,2,6,2,2,1,2,1,2,2,9,8,1,15.0,4
3,1,2,5,4,2,1,1,1,8,1,3,9,3,34.0,2
2,1,1,3,2,2,1,1,1,2,1,2,8,3,46.0,1
2,1,1,4,2,2,1,2,1,1,2,5,12,2,24.0,3
5,1,1,2,1,2,1,1,1,1,1,5,11,3,34.0,3
1,1,2,5,1,2,1,1,1,1,1,2,10,3,48.0,1
-9,3,1,6,2,2,2,1,1,2,2,2,8,2,28.0,-9
5,1,2,5,4,2,1,1,1,2,1,4,11,2,28.0,2
2,1,2,5,2,2,2,1,1,9,1,4,12,3,44.0,2
3,1,1,3,1,2,1,1,1,1,1,2,3,4,56.0,1
2,1,2,6,2,2,1,3,1,2,1,6,11,1,15.0,3
3,1,1,5,4,2,2,2,1,1,1,2,6,3,45.0,1
1,1,2,5,1,2,1,1,1,2,1,4,4,3,46.0,2
1,1,1,2,1,2,1,1,1,1,1,7,4,3,45.0,4
6,1,2,5,2,2,2,2,1,2,1,9,10,3,42.0,4
2,1,1,5,2,2,1,1,1,2,1,5,6,3,42.0,3
1,1,1,3,1,2,1,1,1,1,1,3,2,3,36.0,2
3,1,1,3,1,2,1,2,1,1,2,5,3,3,31.0,3
3,1,1,3,1,2,1,1,1,1,1,7,8,3,36.0,4
2,1,2,3,2,2,2,2,3,6,1,9,8,2,26.0,4
3,1,2,2,1,2,1,2,1,2,1,9,12,1,3.0,4
2,1,1,5,2,2,1,1,1,9,2,5,3,3,38.0,3
3,1,2,4,1,2,1,2,1,2,1,4,11,3,45.0,2
1,1,2,5,1,2,1,1,4,2,1,7,8,3,31.0,2
1,1,1,4,1,2,2,2,1,2,2,8,4,3,39.0,4
2,1,2,3,2,2,1,2,1,2,1,2,10,2,28.0,1
2,1,2,4,2,2,1,2,1,1,1,3,8,3,40.0,1
2,1,2,4,2,2,2,2,4,2,1,6,11,2,26.0,3
1,1,2,6,5,2,1,1,1,1,2,3,12,1,9.0,2
2,1,1,6,2,2,1,1,1,2,1,3,2,4,60.0,2
4,1,1,6,1,2,1,1,1,1,1,9,4,1,2.0,4
1,1,2,5,1,2,1,1,1,2,1,2,2,3,34.0,1
1,1,2,3,1,2,2,2,1,9,1,2,8,3,44.0,1
1,1,1,6,4,2,1,4,1,2,2,1,4,3,45.0,2
2,1,2,4,2,2,1,1,1,1,1,1,2,3,47.0,1
2,1,2,4,2,2,1,2,1,2,1,7,5,2,25.0,2
3,1,2,5,4,2,1,1,1,9,1,3,11,3,48.0,2
2,1,2,6,2,2,1,2,1,2,1,2,10,3,44.0,1
1,1,2,6,1,2,1,3,1,2,1,5,8,1,13.0,3
2,1,1,5,2,2,1,2,1,2,1,2,4,3,36.0,1
1,1,2,5,4,2,1,3,1,2,1,2,8,3,37.0,1
-9,1,2,2,1,2,1,2,1,1,1,3,10,3,33.0,-9
5,1,1,2,1,2,1,1,1,2,2,5,3,3,43.0,3
5,1,2,3,1,2,1,2,1,2,1,7,4,3,43.0,4
2,1,1,5,2,2,1,2,1,1,1,2,10,2,25.0,1
2,1,2,4,2,2,1,2,1,2,1,2,10,2,26.0,1
5,1,2,4,1,2,1,2,1,1,1,3,9,3,48.0,1
3,1,2,3,1,2,2,1,1,2,1,2,11,3,37.0,1
2,1,2,5,2,2,1,2,1,2,1,7,4,3,47.0,4
3,1,2,3,1,2,1,1,1,1,1,6,6,3,31.0,2
