,Family Composition,Population Base,Sex,Age,Marital Status,Student,Country of Birth,Health,Ethnic Group,Religion,Economic Activity,Occupation,Industry,Hours worked per week,No of hours,Approximated Social Grade
408640,3,1,2,5,4,2,1,2,1,9,1,6,11,3,48.0,3
365559,2,1,2,4,2,2,1,1,1,2,2,3,4,2,22.0,2
494056,2,1,1,6,2,2,1,2,1,1,2,2,8,3,37.0,1
560557,2,1,1,4,2,2,2,1,3,6,1,2,11,4,57.0,1
546534,1,1,1,6,4,2,2,1,1,2,1,8,4,4,52.0,3
524223,2,1,1,3,2,2,2,2,3,6,1,2,11,3,38.0,1
467000,3,1,2,5,4,2,1,2,1,2,1,4,11,3,45.0,2
461733,2,1,1,3,2,2,1,1,1,2,1,9,12,3,36.0,4
477512,2,1,2,5,2,2,1,1,4,2,1,3,9,3,38.0,2
472995,1,1,1,2,1,2,1,1,1,1,1,7,8,3,39.0,2
393883,2,1,1,6,2,2,1,2,1,2,2,8,6,3,36.0,4
471755,2,1,2,4,2,2,1,1,1,2,1,1,8,3,35.0,2
513493,2,1,1,4,2,2,1,1,1,2,1,1,4,3,42.0,1
465441,2,1,1,5,2,2,1,1,1,2,1,2,9,3,48.0,1
565395,3,1,1,4,1,2,2,1,1,1,2,3,8,4,49.0,2
517260,2,1,1,5,2,2,2,1,1,1,1,2,12,3,47.0,1
316055,2,1,2,2,1,1,1,1,1,1,4,9,5,1,4.0,2
429322,3,1,1,5,1,2,1,3,1,2,1,1,2,3,31.0,1
564501,3,1,1,5,4,2,1,1,1,1,1,1,9,4,49.0,1
479003,5,1,1,2,1,2,1,1,1,1,1,7,7,3,35.0,4
415976,2,1,2,6,2,2,1,2,1,2,1,2,11,3,36.0,2
342517,2,1,2,6,2,2,1,3,1,2,2,5,5,2,18.0,4
469673,1,1,2,4,4,2,2,2,1,2,1,3,11,3,44.0,2
528505,4,1,1,5,5,1,1,1,1,2,4,9,11,3,32.0,2
312245,2,1,2,5,2,2,1,2,1,9,1,2,10,1,9.0,1
462083,2,1,2,5,2,2,1,2,1,2,1,4,11,3,39.0,2
478532,1,1,2,6,1,2,1,2,1,2,1,1,11,3,41.0,1
393816,2,1,1,6,2,2,1,1,1,2,1,9,4,3,48.0,3
555862,3,1,1,4,1,2,1,2,1,9,1,8,3,4,51.0,4
350935,2,1,1,2,1,2,1,1,1,2,1,7,4,2,23.0,4
